review,sentiment,cleaned_review
"I went and saw this movie last night after being coaxed to by a few friends of mine. I'll admit that I was reluctant to see it because from what I knew of Ashton Kutcher he was only able to do comedy. I was wrong. Kutcher played the character of Jake Fischer very well, and Kevin Costner played Ben Randall with such professionalism. The sign of a good movie is that it can toy with our emotions. This one did exactly that. The entire theater (which was sold out) was overcome by laughter during the first half of the movie, and were moved to tears during the second half. While exiting the theater I not only saw many women in tears, but many full grown men as well, trying desperately not to let anyone see them crying. This movie was great, and I suggest that you go see it before you judge.",1,went saw movi last night coax friend mine admit reluct see knew ashton kutcher abl comedi wrong kutcher play charact jake fischer well kevin costner play ben randal profession sign good movi toy emot one exactli entir theater sold overcom laughter first half movi move tear second half exit theater not saw mani women tear mani full grown men well tri desper not let anyon see cri movi great suggest go see judg
"Actor turned director Bill Paxton follows up his promising debut, the Gothic-horror ""Frailty"", with this family friendly sports drama about the 1913 U.S. Open where a young American caddy rises from his humble background to play against his Bristish idol in what was dubbed as ""The Greatest Game Ever Played."" I'm no fan of golf, and these scrappy underdog sports flicks are a dime a dozen (most recently done to grand effect with ""Miracle"" and ""Cinderella Man""), but some how this film was enthralling all the same.<br /><br />The film starts with some creative opening credits (imagine a Disneyfied version of the animated opening credits of HBO's ""Carnivale"" and ""Rome""), but lumbers along slowly for its first by-the-numbers hour. Once the action moves to the U.S. Open things pick up very well. Paxton does a nice job and shows a knack for effective directorial flourishes (I loved the rain-soaked montage of the action on day two of the open) that propel the plot further or add some unexpected psychological depth to the proceedings. There's some compelling character development when the British Harry Vardon is haunted by images of the aristocrats in black suits and top hats who destroyed his family cottage as a child to make way for a golf course. He also does a good job of visually depicting what goes on in the players' heads under pressure. Golf, a painfully boring sport, is brought vividly alive here. Credit should also be given the set designers and costume department for creating an engaging period-piece atmosphere of London and Boston at the beginning of the twentieth century.<br /><br />You know how this is going to end not only because it's based on a true story but also because films in this genre follow the same template over and over, but Paxton puts on a better than average show and perhaps indicates more talent behind the camera than he ever had in front of it. Despite the formulaic nature, this is a nice and easy film to root for that deserves to find an audience.",1,actor turn director bill paxton follow promis debut gothic horror frailti famili friendli sport drama u open young american caddi rise humbl background play bristish idol dub greatest game ever play no fan golf scrappi underdog sport flick dime dozen recent done grand effect miracl cinderella man film enthral film start creativ open credit imagin disneyfi version anim open credit hbo carnival rome lumber along slowli first number hour action move u open thing pick well paxton nice job show knack effect directori flourish love rain soak montag action day two open propel plot add unexpect psycholog depth proceed compel charact develop british harri vardon haunt imag aristocrat black suit top hat destroy famili cottag child make way golf cours also good job visual depict goe player head pressur golf pain bore sport brought vividli aliv credit also given set design costum depart creat engag period piec atmospher london boston begin twentieth centuri know go end not base true stori also film genr follow templat paxton put better averag show perhap indic talent behind camera ever front despit formula natur nice easi film root deserv find audienc
"As a recreational golfer with some knowledge of the sport's history, I was pleased with Disney's sensitivity to the issues of class in golf in the early twentieth century. The movie depicted well the psychological battles that Harry Vardon fought within himself, from his childhood trauma of being evicted to his own inability to break that glass ceiling that prevents him from being accepted as an equal in English golf society. Likewise, the young Ouimet goes through his own class struggles, being a mere caddie in the eyes of the upper crust Americans who scoff at his attempts to rise above his standing. <br /><br />What I loved best, however, is how this theme of class is manifested in the characters of Ouimet's parents. His father is a working-class drone who sees the value of hard work but is intimidated by the upper class; his mother, however, recognizes her son's talent and desire and encourages him to pursue his dream of competing against those who think he is inferior.<br /><br />Finally, the golf scenes are well photographed. Although the course used in the movie was not the actual site of the historical tournament, the little liberties taken by Disney do not detract from the beauty of the film. There's one little Disney moment at the pool table; otherwise, the viewer does not really think Disney. The ending, as in ""Miracle,"" is not some Disney creation, but one that only human history could have written.",1,recreat golfer knowledg sport histori pleas disney sensit issu class golf earli twentieth centuri movi depict well psycholog battl harri vardon fought within childhood trauma evict inabl break glass ceil prevent accept equal english golf societi likewis young ouimet goe class struggl mere caddi eye upper crust american scoff attempt rise stand love best howev theme class manifest charact ouimet parent father work class drone see valu hard work intimid upper class mother howev recogn son talent desir encourag pursu dream compet think inferior final golf scene well photograph although cours use movi not actual site histor tournament littl liberti taken disney not detract beauti film one littl disney moment pool tabl otherwis viewer not realli think disney end miracl not disney creation one human histori could written
"I saw this film in a sneak preview, and it is delightful. The cinematography is unusually creative, the acting is good, and the story is fabulous. If this movie does not do well, it won't be because it doesn't deserve to. Before this film, I didn't realize how charming Shia Lebouf could be. He does a marvelous, self-contained, job as the lead. There's something incredibly sweet about him, and it makes the movie even better. The other actors do a good job as well, and the film contains moments of really high suspense, more than one might expect from a movie about golf. Sports movies are a dime a dozen, but this one stands out. <br /><br />This is one I'd recommend to anyone.",1,saw film sneak preview delight cinematographi unusu creativ act good stori fabul movi not well deserv film realiz charm shia lebouf could marvel self contain job lead someth incred sweet make movi even better actor good job well film contain moment realli high suspens one might expect movi golf sport movi dime dozen one stand one recommend anyon
"Bill Paxton has taken the true story of the 1913 US golf open and made a film that is about much more than an extra-ordinary game of golf. The film also deals directly with the class tensions of the early twentieth century and touches upon the profound anti-Catholic prejudices of both the British and American establishments. But at heart the film is about that perennial favourite of triumph against the odds.<br /><br />The acting is exemplary throughout. Stephen Dillane is excellent as usual, but the revelation of the movie is Shia LaBoeuf who delivers a disciplined, dignified and highly sympathetic performance as a working class Franco-Irish kid fighting his way through the prejudices of the New England WASP establishment. For those who are only familiar with his slap-stick performances in ""Even Stevens"" this demonstration of his maturity is a delightful surprise. And Josh Flitter as the ten year old caddy threatens to steal every scene in which he appears.<br /><br />A old fashioned movie in the best sense of the word: fine acting, clear directing and a great story that grips to the end - the final scene an affectionate nod to Casablanca is just one of the many pleasures that fill a great movie.",1,bill paxton taken true stori us golf open made film much extra ordinari game golf film also deal directli class tension earli twentieth centuri touch upon profound anti cathol prejudic british american establish heart film perenni favourit triumph odd act exemplari throughout stephen dillan excel usual revel movi shia laboeuf deliv disciplin dignifi highli sympathet perform work class franco irish kid fight way prejudic new england wasp establish familiar slap stick perform even steven demonstr matur delight surpris josh flitter ten year old caddi threaten steal everi scene appear old fashion movi best sens word fine act clear direct great stori grip end final scene affection nod casablanca one mani pleasur fill great movi
"I saw this film on September 1st, 2005 in Indianapolis. I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award. A Truly Moving Picture ""...explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.<br /><br />This is a story of golf in the early part of the 20th century. At that time, it was the game of upper class and rich ""gentlemen"", and working people could only participate by being caddies at country clubs. With this backdrop, this based-on-a-true-story unfolds with a young, working class boy who takes on the golf establishment and the greatest golfer in the world, Harry Vardon.<br /><br />And the story is inspirational. Against all odds, Francis Ouimet (played by Shia LaBeouf of ""Holes"") gets to compete against the greatest golfers of the U.S. and Great Britain at the 1913 U.S. Open. Francis is ill-prepared, and has a child for a caddy. (The caddy is hilarious and motivational and steals every scene he appears in.) But despite these handicaps, Francis displays courage, spirit, heroism, and humility at this world class event.<br /><br />And, we learn a lot about the early years of golf; for example, the use of small wooden clubs, the layout of the short holes, the manual scoreboard, the golfers swinging with pipes in their mouths, the terrible conditions of the greens and fairways, and the play not being canceled even in torrential rain.<br /><br />This film has stunning cinematography and art direction and editing. And with no big movie stars, the story is somehow more believable.<br /><br />This adds to the inventory of great sports movies in the vein of ""Miracle"" and ""Remember the Titans.""<br /><br />FYI - There is a Truly Moving Pictures web site where there is a listing of past winners going back 70 years.",1,saw film septemb st indianapoli one judg heartland film festiv screen film truli move pictur award truli move pictur explor human journey artist express hope respect posit valu life heartland gave award film stori golf earli part th centuri time game upper class rich gentlemen work peopl could particip caddi countri club backdrop base true stori unfold young work class boy take golf establish greatest golfer world harri vardon stori inspir odd franci ouimet play shia labeouf hole get compet greatest golfer u great britain u open franci ill prepar child caddi caddi hilari motiv steal everi scene appear despit handicap franci display courag spirit heroism humil world class event learn lot earli year golf exampl use small wooden club layout short hole manual scoreboard golfer swing pipe mouth terribl condit green fairway play not cancel even torrenti rain film stun cinematographi art direct edit no big movi star stori somehow believ add inventori great sport movi vein miracl rememb titan fyi truli move pictur web site list past winner go back year
"Maybe I'm reading into this too much, but I wonder how much of a hand Hongsheng had in developing the film. I mean, when a story is told casting the main character as himself, I would think he would be a heavy hand in writing, documenting, etc. and that would make it a little biased.<br /><br />But...his family and friends also may have had a hand in getting the actual details about Hongsheng's life. I think the best view would have been told from Hongsheng's family and friends' perspectives. They saw his transformation and weren't so messed up on drugs that they remember everything.<br /><br />As for Hongsheng being full of himself, the consistencies of the Jesus Christ pose make him appear as a martyr who sacrificed his life (metaphorically, of course, he's obviously still alive as he was cast as himself) for his family's happiness. Huh?<br /><br />The viewer sees him at his lowest points while still maintaining a superiority complex. He lies on the grass coming down from (during?) a high by himself and with his father, he contemplates life and has visions of dragons at his window, he celebrates his freedom on a bicycle all while outstretching his arms, his head cocked to the side.<br /><br />It's fabulous that he's off of drugs now, but he's no hero. He went from a high point in his career in acting to his most vulnerable point while on drugs to come back somewhere in the middle.<br /><br />This same device is used in Ted Demme's ""Blow"" where the audience empathizes with the main character who is shown as a flawed hero.<br /><br />However, ""Quitting"" (""Zuotian"") is a film that is recommended, mostly for its haunting soundtrack, superb acting, and landscapes. But, the best part is the feeling that one gets when what we presume to be the house of Jia Hongsheng is actually a stage setting for a play. It makes the viewer feel as if Hongsheng's life was merely a play told in many difficult parts.",1,mayb read much wonder much hand hongsheng develop film mean stori told cast main charact would think would heavi hand write document etc would make littl bias famili friend also may hand get actual detail hongsheng life think best view would told hongsheng famili friend perspect saw transform mess drug rememb everyth hongsheng full consist jesu christ pose make appear martyr sacrif life metaphor cours obvious still aliv cast famili happi huh viewer see lowest point still maintain superior complex lie grass come high father contempl life vision dragon window celebr freedom bicycl outstretch arm head cock side fabul drug no hero went high point career act vulner point drug come back somewher middl devic use ted demm blow audienc empath main charact shown flaw hero howev quit zuotian film recommend mostli haunt soundtrack superb act landscap best part feel one get presum hous jia hongsheng actual stage set play make viewer feel hongsheng life mere play told mani difficult part
"I felt this film did have many good qualities. The cinematography was certainly different exposing the stage aspect of the set and story. The original characters as actors was certainly an achievement and I felt most played quite convincingly, of course they are playing themselves, but definitely unique. The cultural aspects may leave many disappointed as a familiarity with the Chinese and Oriental culture will answer a lot of questions regarding parent/child relationships and the stigma that goes with any drug use. I found the Jia Hongsheng story interesting. On a down note, the story is in Beijing and some of the fashion and music reek of early 90s even though this was made in 2001, so it's really cheesy sometimes (the Beatles crap, etc). Whatever, not a top ten or twenty but if it's on the television, check it out.",1,felt film mani good qualiti cinematographi certainli differ expos stage aspect set stori origin charact actor certainli achiev felt play quit convincingli cours play definit uniqu cultur aspect may leav mani disappoint familiar chines orient cultur answer lot question regard parent child relationship stigma goe drug use found jia hongsheng stori interest note stori beij fashion music reek earli even though made realli cheesi sometim beatl crap etc whatev not top ten twenti televis check
"This movie is amazing because the fact that the real people portray themselves and their real life experience and do such a good job it's like they're almost living the past over again. Jia Hongsheng plays himself an actor who quit everything except music and drugs struggling with depression and searching for the meaning of life while being angry at everyone especially the people who care for him most. There's moments in the movie that will make you wanna cry because the family especially the father did such a good job. However, this movie is not for everyone. Many people who suffer from depression will understand Hongsheng's problem and why he does the things he does for example keep himself shut in a dark room or go for walks or bike rides by himself. Others might see the movie as boring because it's just so real that its almost like a documentary. Overall this movie is great and Hongsheng deserved an Oscar for this movie so did his Dad.",1,movi amaz fact real peopl portray real life experi good job like almost live past jia hongsheng play actor quit everyth except music drug struggl depress search mean life angri everyon especi peopl care moment movi make wanna cri famili especi father good job howev movi not everyon mani peopl suffer depress understand hongsheng problem thing exampl keep shut dark room go walk bike ride other might see movi bore real almost like documentari overal movi great hongsheng deserv oscar movi dad
"""Quitting"" may be as much about exiting a pre-ordained identity as about drug withdrawal. As a rural guy coming to Beijing, class and success must have struck this young artist face on as an appeal to separate from his roots and far surpass his peasant parents' acting success. Troubles arise, however, when the new man is too new, when it demands too big a departure from family, history, nature, and personal identity. The ensuing splits, and confusion between the imaginary and the real and the dissonance between the ordinary and the heroic are the stuff of a gut check on the one hand or a complete escape from self on the other. Hongshen slips into the latter and his long and lonely road back to self can be grim.<br /><br />But what an exceptionally convincing particularity, honesty, and sensuousness director Zhang Yang, and his actors, bring to this journey. No clichés, no stereotypes, no rigid gender roles, no requisite sex, romance or violence scenes, no requisite street language and, to boot, no assumed money to float character acts and whims. <br /><br />Hongshen Jia is in his mid-twenties. He's a talented actor, impressionable, vain, idealistic, and perhaps emotionally starved. The perfect recipe for his enablers. Soon he's the ""cool"" actor, idolized by youth. ""He was hot in the early nineties."" ""He always had to be the most fashionable."" He needs extremes, and goes in for heavy metal, adopts earrings and a scarf. His acting means the arts, friends--and roles, But not the kind that offer any personal challenge or input. And his self-criticism, dulled by the immediacy of success, opens the doors to an irrational self-doubt, self-hatred-- ""I didn't know how to act"" ""I felt like a phony""--and to readily available drugs to counter them. He says ""I had to get high to do what director wanted."" So, his shallow identity as an actor becomes, via drugs, an escape from identity. <br /><br />Hongshen's disengagement from drugs and his false life is very gradual, intermittent--and doggedly his own. Solitude, space, meditative thinking, speech refusal, replace therapy. The abstract is out. And a great deal of his change occurs outdoors---not in idealized locations but mainly on green patches under the freeways, bridges, and high-rises of Beijing. The physicality is almost romantic, but is not. The bike rides to Ritan Park, the long spontaneous walks, the drenching sun and rain, grassy picnics, the sky patterns and kites that absorb his musing are very specific. He drifts in order to arrive, all the while picking up cues to a more real and realistic identity. ""I started to open up"" he says of this period in retrospect. And the contact seems to start with his lanky body which projects a kind of dancer's positioning (clumsy, graceful, humorous, telling) in a current circumstance. If mind or spirit is lacking, his legs can compel him to walk all night. <br /><br />Central to his comeback is the rejection of set roles. To punctuate his end to acting and his determination to a new identity, he smashes his videos and TV, and bangs his head till bloody against his ""John Lennon Forever"" poster. He has let down his iconic anti-establishment artist---but he's the only viable guide he knows. He even imagines himself as John's son (Yoko Ono), and adopts his ""Mother Mary"" as an intercessor in his ""hour of darkness"" and ""time of trouble."" (the wrenching, shaking pain in the park--hallucinatory and skitzoid ordeals) ""Music is so much more real than acting"" he says. And speaks of Lennon's influence as ""showing me a new way."" In the mental institute, the life-saving apples (resistance, nourishment) reflect Lennon's presence, as does Hongshen's need to re-hang his hero's poster in his redecorated room.<br /><br />If Lennon's influence is spiriting, Hongshen's father's influence is grounding. Although father and son are both actors and users (drugs and drink), it is Fegsen's differences from his son that underwrites his change. For the father is more secure in himself: he accepts that he's Chinese, a peasant in a line of peasants, a rural theater director. And he exercises control over both his habit and his emotions. It's this recognizable identity that drives Hongshen to treat him like a sounding board, sometimes with anger and rage, sometimes with humor (the blue jeans, Beatles) and passivity. In his most crazed, and violent exchange with his father in which he accuses him of being a liar, and a fake, he exposes more of himself than his father: ""all the acts I acted before were bullshit... life is bullshit."" And to Hongshen's emphatic ""you are NOT my father,"" he softly replies, ""why can't a peasant be your father?"" <br /><br />Under these two teachers and with much additional help from his mother, sister, friends, inmates at the rehab inst., he makes some tangible connection to a real (not whole) self. As the long term drug effects recede, so does his old identity. Indebtedness replaces pride, trust distrust. Integrity banishes his black cloud. All his edges soften. ""You are just a human being"" he repeats endlessly after being released from the strap-down incurred for refusing medicine. Back home, lard peasant soap is fine with him now. And his once ""rare and true friendships"" begin again as is so evident in the back to poignant back-to-back fence scene with his musician buddy. Hongshen says of this movie: ""it's a good chance to think about my life."" And I might add, become a New Actor, one bound to art and life. Like Lennon, he has gained success without a loss of identity.",1,quit may much exit pre ordain ident drug withdraw rural guy come beij class success must struck young artist face appeal separ root far surpass peasant parent act success troubl aris howev new man new demand big departur famili histori natur person ident ensu split confus imaginari real disson ordinari heroic stuff gut check one hand complet escap self hongshen slip latter long lone road back self grim except convinc particular honesti sensuous director zhang yang actor bring journey no clich no stereotyp no rigid gender role no requisit sex romanc violenc scene no requisit street languag boot no assum money float charact act whim hongshen jia mid twenti talent actor impression vain idealist perhap emot starv perfect recip enabl soon cool actor idol youth hot earli nineti alway fashion need extrem goe heavi metal adopt ear scarf act mean art friend role not kind offer person challeng input self critic dull immediaci success open door irrat self doubt self hatr know act felt like phoni readili avail drug counter say get high director want shallow ident actor becom via drug escap ident hongshen disengag drug fals life gradual intermitt doggedli solitud space medit think speech refus replac therapi abstract great deal chang occur outdoor not ideal locat mainli green patch freeway bridg high rise beij physic almost romant not bike ride ritan park long spontan walk drench sun rain grassi picnic sky pattern kite absorb muse specif drift order arriv pick cue real realist ident start open say period retrospect contact seem start lanki bodi project kind dancer posit clumsi grace humor tell current circumst mind spirit lack leg compel walk night central comeback reject set role punctuat end act determin new ident smash video tv bang head till bloodi john lennon forev poster let icon anti establish artist viabl guid know even imagin john son yoko ono adopt mother mari intercessor hour dark time troubl wrench shake pain park hallucinatori skitzoid ordeal music much real act say speak lennon influenc show new way mental institut life save appl resist nourish reflect lennon presenc hongshen need hang hero poster redecor room lennon influenc spirit hongshen father influenc ground although father son actor user drug drink fegsen differ son underwrit chang father secur accept chines peasant line peasant rural theater director exercis control habit emot recogniz ident drive hongshen treat like sound board sometim anger rage sometim humor blue jean beatl passiv craze violent exchang father accus liar fake expos father act act bullshit life bullshit hongshen emphat not father softli repli peasant father two teacher much addit help mother sister friend inmat rehab inst make tangibl connect real not whole self long term drug effect reced old ident indebted replac pride trust distrust integr banish black cloud edg soften human repeat endlessli releas strap incur refus medicin back home lard peasant soap fine rare true friendship begin evid back poignant back back fenc scene musician buddi hongshen say movi good chanc think life might add becom new actor one bound art life like lennon gain success without loss ident
